5.000000
64 64 64
88474 26 38 21
-0.147137 0.881221 0.449221 11.612370
92570 26 38 22
-0.038057 0.943207 0.330019 14.065188
96666 26 38 23
0.472139 0.224328 0.852503 15.039470
100762 26 38 24
0.155792 -0.148631 0.976544 17.485313
104858 26 38 25
-0.534536 0.584150 0.610769 20.114799
108954 26 38 26
-0.817577 0.575564 -0.017169 20.970728
121242 26 38 29
0.447780 -0.464868 -0.763800 13.915690
84442 26 39 20
-0.136628 0.378942 0.915279 12.303858
92634 26 39 22
-0.404503 0.483754 -0.776118 16.403347
104922 26 39 25
0.226053 -0.398595 0.888832 19.633690
121306 26 39 29
0.437177 -0.563696 -0.700802 9.151447
84506 26 40 20
-0.036268 0.032659 0.998808 13.010315
88602 26 40 21
0.533536 -0.845693 0.011959 15.332903
109082 26 40 26
0.884920 -0.465714 -0.005216 20.942635
113178 26 40 27
0.407184 -0.149577 -0.901015 17.645510
211482 26 40 51
0.935453 0.221044 -0.275803 4.592906
84570 26 41 20
-0.134138 0.197429 0.971097 13.755368
105050 26 41 25
0.103855 -0.049953 0.993337 18.047369
109146 26 41 26
0.409792 -0.890153 -0.199245 19.758661
117338 26 41 28
0.354822 -0.138381 -0.924636 9.350362
84634 26 42 20
-0.052865 -0.010030 0.998551 14.466374
88730 26 42 21
-0.688694 0.471118 -0.551134 17.312803
101018 26 42 24
-0.505008 0.196749 0.840391 16.763857
109210 26 42 26
-0.250363 -0.898197 -0.361332 17.077879
84698 26 43 20
0.134991 -0.314777 0.939517 13.405681
113370 26 43 27
-0.157702 -0.678293 -0.717669 10.587120
84762 26 44 20
0.130812 -0.704855 0.697186 9.431855
88858 26 44 21
0.077487 -0.975016 0.208180 12.932840
92954 26 44 22
-0.301707 -0.952971 0.028617 13.277420
97050 26 44 23
-0.586931 -0.777336 0.226407 13.972600
101146 26 44 24
-0.433121 -0.900806 0.030889 14.799452
113434 26 44 27
-0.251636 -0.661807 -0.706181 6.182960
211738 26 44 51
0.918959 -0.270846 -0.286631 3.791907
93018 26 45 22
-0.287825 -0.946948 0.142987 6.789834
105306 26 45 25
-0.206436 -0.963159 -0.172362 8.415702
95451 27 19 23
-0.341690 0.898157 -0.276697 10.541975
99547 27 19 24
-0.230099 0.918012 -0.322968 8.333381
91419 27 20 22
-0.266437 0.847424 0.459221 15.520063
99611 27 20 24
-0.231499 0.968587 -0.090814 13.996460
103707 27 20 25
0.061940 0.953633 -0.294531 13.336473
107803 27 20 26
0.204692 0.609767 -0.765692 9.781954
95579 27 21 23
-0.736730 0.270498 -0.619726 16.777706
99675 27 21 24
0.064212 0.970939 0.230550 16.462360
206171 27 21 50
-0.596337 0.747738 -0.292009 1.717903
75163 27 22 18
-0.040747 0.285085 0.957636 5.984126
99739 27 22 24
0.744751 0.605349 0.280889 17.045792
206235 27 22 50
-0.809620 0.514747 -0.282047 3.641100
83419 27 23 20
0.024594 -0.811372 -0.584012 16.934347
87515 27 23 21
-0.241204 -0.783701 -0.572393 14.989792
202203 27 23 49
-0.885528 0.352901 0.302160 4.584917
206299 27 23 50
-0.949673 0.089164 -0.300285 4.610797
79387 27 24 19
0.103166 -0.571924 0.813793 11.334517
99867 27 24 24
0.773792 -0.616163 0.146934 15.034187
103963 27 24 25
0.867949 -0.477091 0.138019 16.436834
112155 27 24 27
0.565059 0.115675 -0.816901 11.308981
128539 27 24 31
0.041280 0.887146 0.459639 4.363467
189979 27 24 46
0.193505 0.954346 -0.227551 9.847897
210459 27 24 51
